snoring_range,respitory_range,temperature,limb_movement_rate,oxygen_in_blood,rapid_eye_movement,number_of_hours_of_sleep,heart_rate,stress_level,Date/Time (EST),sr_with_trend
93.8,25.68,91.84,16.6,89.84,99.6,1.84,74.2,3.0,2011-01-01 01:00:00,93.8
91.64,25.104,91.552,15.88,89.552,98.88,1.552,72.76,3.0,2011-01-01 02:00:00,91.79898251192368
60.0,20.0,96.0,10.0,95.0,85.0,7.0,60.0,1.0,2011-01-01 03:00:00,60.31796502384738
85.76,23.536,90.768,13.92,88.768,96.92,0.768,68.84,3.0,2011-01-01 04:00:00,86.23694753577107
48.12,17.248,97.872,6.496,96.248,72.48,8.248,53.12,0.0,2011-01-01 05:00:00,48.755930047694754
56.88,19.376,95.376,9.376,94.064,83.44,6.376,58.44,1.0,2011-01-01 06:00:00,57.67491255961844
47.0,16.8,97.2,5.6,95.8,68.0,7.8,52.0,0.0,2011-01-01 07:00:00,47.95389507154213
50.0,18.0,99.0,8.0,97.0,80.0,9.0,55.0,0.0,2011-01-01 08:00:00,51.11287758346582
45.28,16.112,96.168,4.224,95.112,61.12,7.112,50.28,0.0,2011-01-01 09:00:00,46.55186009538951
55.52,19.104,95.104,9.104,93.656,82.76,6.104,57.76,1.0,2011-01-01 10:00:00,56.9508426073132
73.44,21.344,93.344,11.344,91.344,91.72,4.016,63.36,2.0,2011-01-01 11:00:00,75.02982511923688
59.28,19.856,95.856,9.856,94.784,84.64,6.856,59.64,1.0,2011-01-01 12:00:00,61.028807631160575
48.6,17.44,98.16,6.88,96.44,74.4,8.44,53.6,0.0,2011-01-01 13:00:00,50.507790143084264
96.288,26.288,85.36,17.144,82.432,100.36,0.0,75.72,4.0,2011-01-01 14:00:00,98.35477265500795
87.8,24.08,91.04,14.6,89.04,97.6,1.04,70.2,3.0,2011-01-01 15:00:00,90.02575516693163
52.32,18.464,94.464,8.464,92.696,81.16,5.464,56.16,1.0,2011-01-01 16:00:00,54.704737678855324
52.64,18.528,94.528,8.528,92.792,81.32,5.528,56.32,1.0,2011-01-01 17:00:00,55.18372019077901
86.24,23.664,90.832,14.08,88.832,97.08,0.832,69.16,3.0,2011-01-01 18:00:00,88.9427027027027
81.56,22.416,90.208,12.52,88.208,95.52,0.208,66.04,3.0,2011-01-01 19:00:00,84.4216852146264
63.68,20.368,92.368,10.368,90.368,86.84,2.552,60.92,2.0,2011-01-01 20:00:00,66.70066772655008
77.6,21.76,93.76,11.76,91.76,93.8,4.64,64.4,2.0,2011-01-01 21:00:00,80.77965023847376
77.28,21.728,93.728,11.728,91.728,93.64,4.592,64.32,2.0,2011-01-01 22:00:00,80.61863275039745
69.76,20.976,92.976,10.976,90.976,89.88,3.464,62.44,2.0,2011-01-01 23:00:00,73.25761526232115
88.04,24.144,91.072,14.68,89.072,97.68,1.072,70.36,3.0,2011-01-02 00:00:00,91.69659777424484
89.96,24.656,91.328,15.32,89.328,98.32,1.328,71.64,3.0,2011-01-02 01:00:00,93.77558028616852
53.68,18.736,94.736,8.736,93.104,81.84,5.736,56.84,1.0,2011-01-02 02:00:00,57.65456279809221
78.56,21.856,93.856,11.856,91.856,94.28,4.784,64.64,2.0,2011-01-02 03:00:00,82.6935453100159
50.96,18.192,94.192,8.192,92.288,80.48,5.192,55.48,1.0,2011-01-02 04:00:00,55.25252782193959
94.76,25.936,91.968,16.92,89.968,99.92,1.968,74.84,3.0,2011-01-02 05:00:00,99.21151033386329
62.08,20.208,92.208,10.208,90.208,86.04,2.312,60.52,2.0,2011-01-02 06:00:00,66.69049284578696
49.12,17.648,98.472,7.296,96.648,76.48,8.648,54.12,0.0,2011-01-02 07:00:00,53.88947535771065
96.256,26.256,85.32,17.128,82.384,100.32,0.0,75.64,4.0,2011-01-02 08:00:00,101.18445786963434
47.68,17.072,97.608,6.144,96.072,70.72,8.072,52.68,0.0,2011-01-02 09:00:00,52.76744038155803
99.904,29.904,89.88,18.952,87.856,104.88,0.0,84.76,4.0,2011-01-02 10:00:00,105.15042289348172
60.0,20.0,92.0,10.0,90.0,85.0,2.0,60.0,2.0,2011-01-02 11:00:00,65.4054054054054
86.72,23.792,90.896,14.24,88.896,97.24,0.896,69.48,3.0,2011-01-02 12:00:00,92.2843879173291
48.48,17.392,98.088,6.784,96.392,73.92,8.392,53.48,0.0,2011-01-02 13:00:00,54.20337042925278
98.528,28.528,88.16,18.264,85.792,103.16,0.0,81.32,4.0,2011-01-02 14:00:00,104.41035294117648
46.12,16.448,96.672,4.896,95.448,64.48,7.448,51.12,0.0,2011-01-02 15:00:00,52.16133545310016
98.72,28.72,88.4,18.36,86.08,103.4,0.0,81.8,4.0,2011-01-02 16:00:00,104.92031796502384
60.96,20.096,92.096,10.096,90.096,85.48,2.144,60.24,2.0,2011-01-02 17:00:00,67.31930047694753
65.6,20.56,92.56,10.56,90.56,87.8,2.84,61.4,2.0,2011-01-02 18:00:00,72.11828298887121
75.36,21.536,93.536,11.536,91.536,92.68,4.304,63.84,2.0,2011-01-02 19:00:00,82.03726550079492
49.28,17.712,98.568,7.424,96.712,77.12,8.712,54.28,0.0,2011-01-02 20:00:00,56.1162480127186
73.28,21.328,93.328,11.328,91.328,91.64,3.992,63.32,2.0,2011-01-02 21:00:00,80.2752305246423
98.912,28.912,88.64,18.456,86.368,103.64,0.0,82.28,4.0,2011-01-02 22:00:00,106.06621303656598
62.88,20.288,92.288,10.288,90.288,86.44,2.432,60.72,2.0,2011-01-02 23:00:00,70.19319554848967
97.664,27.664,87.08,17.832,84.496,102.08,0.0,79.16,4.0,2011-01-03 00:00:00,105.13617806041336
56.72,19.344,95.344,9.344,94.016,83.36,6.344,58.36,1.0,2011-01-03 01:00:00,64.35116057233704
96.576,26.576,85.72,17.288,82.864,100.72,0.0,76.44,4.0,2011-01-03 02:00:00,104.36614308426073
49.6,17.84,98.76,7.68,96.84,78.4,8.84,54.6,0.0,2011-01-03 03:00:00,57.549125596184425
53.6,18.72,94.72,8.72,93.08,81.8,5.72,56.8,1.0,2011-01-03 04:00:00,61.70810810810811
93.2,25.52,91.76,16.4,89.76,99.4,1.76,73.8,3.0,2011-01-03 05:00:00,101.4670906200318
46.84,16.736,97.104,5.472,95.736,67.36,7.736,51.84,0.0,2011-01-03 06:00:00,55.26607313195549
56.08,19.216,95.216,9.216,93.824,83.04,6.216,58.04,1.0,2011-01-03 07:00:00,64.66505564387917
75.68,21.568,93.568,11.568,91.568,92.84,4.352,63.92,2.0,2011-01-03 08:00:00,84.42403815580286
97.536,27.536,86.92,17.768,84.304,101.92,0.0,78.84,4.0,2011-01-03 09:00:00,106.43902066772655
92.84,25.424,91.712,16.28,89.712,99.28,1.712,73.56,3.0,2011-01-03 10:00:00,101.90200317965025
87.56,24.016,91.008,14.52,89.008,97.52,1.008,70.04,3.0,2011-01-03 11:00:00,96.78098569157393
58.48,19.696,95.696,9.696,94.544,84.24,6.696,59.24,1.0,2011-01-03 12:00:00,67.85996820349762
98.336,28.336,87.92,18.168,85.504,102.92,0.0,80.84,4.0,2011-01-03 13:00:00,107.8749507154213
81.08,22.288,90.144,12.36,88.144,95.36,0.144,65.72,3.0,2011-01-03 14:00:00,90.77793322734499
46.6,16.64,96.96,5.28,95.64,66.4,7.64,51.6,0.0,2011-01-03 15:00:00,56.45691573926868
